id,name,tags,problem,solution,action,files,tech-stack,causeIds,effectIds,last-commit-short-sha,created-at,updated-at,model,created-by-agent
0226c5fb-ad03-45df-97b9-b54134a1fded,auth-error-001,API Authentication Error,"error,api,auth",Users unable to login due to JWT token expiration not being handled correctly,Added token refresh logic with exponential backoff retry mechanism,,,,,,Updated auth.ts middleware and added refresh endpoint,"src/middleware/auth.ts, src/routes/auth.routes.ts","typescript, express, jwt",
ecf1988c-a4f4-4ed9-bba9-8fd27b3c67ce,db-investigation-002,Database Connection Pool Exhausted,"error,database,performance",Application crashes during high traffic due to database connection pool being exhausted,Increased pool size from 10 to 50 and added connection timeout handling,,,,,,"Modified database.config.ts: ts`pool.max = 50, pool.idleTimeoutMillis = 30_000`",src/config/database.config.ts,"typescript, postgresql, node.js",
209c0408-5eb6-487d-8221-f9fc5ae23ebe,dark-mode-003,Implement Dark Mode,"feature,ui,enhancement",Users requested dark mode for better viewing experience at night,Implemented theme toggle using CSS variables and localStorage for persistence,,,,,,Created theme.ts utility and updated global.css with dark mode variables,"src/utils/theme.ts, styles/global.css, src/components/ThemeToggle.tsx","typescript, react, tailwindcss",
9b4a0098-1fca-43c9-87e4-985761e0ace6,memory-leak-004,Memory Leak in WebSocket Handler,"bug,websocket,memory",Server memory usage grows continuously when WebSocket connections are active,Fixed event listener cleanup in disconnect handler to prevent memory leaks,,,,,,Added `removeAllListeners()` call in `websocket.disconnect()`,src/handlers/websocket.handler.ts,"typescript, socket.io, node.js",
39758239-b528-414c-9253-002d40819d84,image-optimization-005,Optimize Image Loading,"performance,optimization,images",Page load time is slow due to large unoptimized images,Implemented lazy loading and WebP format with fallback to JPEG,,,,,,Added next/image component and configured image optimization in next.config.js,"next.config.js, src/components/ImageGallery.tsx","typescript, next.js, react",
39f8be59-7a3b-44c7-885f-96a147be21dd,typescript-migration-006,TypeScript Migration Complete,"refactor,typescript,milestone",Codebase was in JavaScript making it hard to catch type errors,Migrated entire codebase to TypeScript with strict mode enabled,,,,,,"Converted all .js files to .ts, added type definitions, configured tsconfig.json","tsconfig.json, package.json, src/**/*","typescript, node.js",
84833006-826c-4ccf-bfdc-ffd93a788b4a,f2af0e5b-17f7-4839-8ed7-783f20018294,"Update tests, CSV output, and publish v0.1.7","test,feature,release",Need full test coverage and token-optimized CSV output for LLMs,"Implemented comprehensive unit tests, Minimal CSV export, and default CSV output for LLM mode. Published v0.1.7.",,,,,,"Added tests with 99%+ coverage, implemented logEntriesToCSVMinimal, updated visualizer for CSV output, and updated documentations.","packages/core/src/csv-utils.ts,packages/core/src/visualizer.ts,packages/core/src/visualizer.test.ts,README.md,packages/core/README.md,packages/cli/README.md","typescript,bun,cli",
2134540b-38ab-4051-a45c-3961bceba86e,Improve release workflow with CHANGELOG.md integration,"release,workflow,automation,changelog",Release workflow only used git commit messages for changelog,"Enhanced .github/workflows/release.yml to parse CHANGELOG.md for version-specific content, updated docs/release.md with new process, and fixed package dependencies",,,,,,,2026-01-14T15:08:55.669Z,,SWE-1.5,
83ad0d27-9f61-4913-99e6-9e0eaa84825d,Improve release workflow with CHANGELOG.md integration,"release,workflow,automation,changelog",Release workflow only used git commit messages for changelog,"Enhanced .github/workflows/release.yml to parse CHANGELOG.md for version-specific content, updated docs/release.md with new process, and fixed package dependencies",,".github/workflows/release.yml,docs/release.md,packages/cli/package.json","github-actions,markdown,monorepo",,,,2026-01-14T15:10:58.759Z,,SWE-1.5,Cascade
721ace2b-5e73-4901-bef9-97de16bf170f,Add GitHub CLI workflow trigger support,"github,workflow,automation,cli",Release workflow could only be triggered by git tag pushes,Added workflow_dispatch trigger with version input and optional tag creation,Updated .github/workflows/release.yml to support manual triggering via gh command,.github/workflows/release.yml,"github-actions,yaml",,,,2026-01-14T15:51:38.600Z,,cascade,
